VehicleID,Latitude,Longitude,Speed,Timestamp,Hour,Day
VEH24,28.618867141530114,77.2076173569883,33.23844269050346,2024-01-01 00:02:00,0,Monday
VEH53,28.629130298564082,77.20665846625278,28.8293152152541,2024-01-01 00:04:00,0,Monday
VEH9,28.629692128155074,77.21667434729153,27.65262807032524,2024-01-01 00:56:00,0,Monday
VEH74,28.61932560043586,77.20436582307188,27.671351232148716,2024-01-01 00:45:00,0,Monday
VEH93,28.61631962271566,77.18986719755343,21.375410837434835,2024-01-01 00:39:00,0,Monday
VEH27,28.60827712470759,77.19887168879666,31.571236662976368,2024-01-01 00:07:00,0,Monday
VEH59,28.60481975924479,77.19487696298665,37.32824384460777,2024-01-01 00:55:00,0,Monday
VEH15,28.611642236995134,77.20967528204689,22.87625906893272,2024-01-01 00:15:00,0,Monday
VEH24,28.60845617275475,77.2101092258971,24.245032112888488,2024-01-01 00:25:00,0,Monday
VEH27,28.617656980183458,77.20299361310082,28.541531251033618,2024-01-01 00:06:00,0,Monday
VEH83,28.607882933877708,77.2275227818451,29.93251387631033,2024-01-01 00:02:00,0,Monday
VEH79,28.60332289071044,77.21722544912103,23.895781750144888,2024-01-01 00:43:00,0,Monday
VEH71,28.61598863595005,77.1894032987612,23.359069755507846,2024-01-01 00:45:00,0,Monday
VEH73,28.615868612358693,77.21638466579996,30.85684140594985,2024-01-01 00:54:00,0,Monday
VEH1,28.612743517176117,77.2059889630441,22.607390048162863,2024-01-01 00:30:00,0,Monday
VEH6,28.606701557916054,77.2043936122904,35.285611131094576,2024-01-01 00:44:00,0,Monday
VEH78,28.617336182895684,77.19136959844637,31.620419846973974,2024-01-01 00:08:00,0,Monday
VEH94,28.610049177195837,77.20223077999694,33.058381444204336,2024-01-01 00:14:00,0,Monday
VEH19,28.62420999522496,77.21831280119116,25.803912383886807,2024-01-01 00:59:00,0,Monday
VEH78,28.610807876241488,77.21231263431405,34.877725635611796,2024-01-01 00:08:00,0,Monday
VEH69,28.60910825762155,77.20714341023337,24.46832512996986,2024-01-01 00:59:00,0,Monday
VEH27,28.601937933759196,77.21712525822394,36.78120014285412,2024-01-01 00:36:00,0,Monday
VEH96,28.613179898784196,77.21903532897892,31.80818012523817,2024-01-01 00:24:00,0,Monday
VEH81,28.60744880245395,77.2126139560551,37.690182832329846,2024-01-01 00:40:00,0,Monday
VEH38,28.613541739608902,77.22464643655815,16.901274479551276,2024-01-01 00:21:00,0,Monday
VEH40,28.62211902504375,77.20987047068239,28.504963247670663,2024-01-01 00:48:00,0,Monday
VEH44,28.614817607765357,77.189124310854,28.90164056081244,2024-01-01 00:54:00,0,Monday
VEH53,28.61747112571512,77.22377894044742,27.40864890863176,2024-01-01 00:19:00,0,Monday
VEH16,28.605815063971068,77.20398242956416,34.57701058851037,2024-01-01 00:03:00,0,Monday
VEH94,28.6171875110966,77.20370239796233,32.56633716556678,2024-01-01 00:06:00,0,Monday
VEH45,28.614870775493483,77.21868644990533,26.489734530613237,2024-01-01 00:01:00,0,Monday
VEH51,28.610623378534022,77.20507891846869,22.682425259339407,2024-01-01 00:15:00,0,Monday
VEH77,28.616861202770647,77.21161055272181,30.025567283212304,2024-01-01 00:23:00,0,Monday
VEH28,28.61155412866625,77.1948462925795,27.896773386173205,2024-01-01 00:47:00,0,Monday
VEH68,28.610472854834732,77.20097722730779,29.193571441669953,2024-01-01 00:16:00,0,Monday
VEH99,28.617940508568147,77.22786185901211,30.872889064159196,2024-01-01 00:35:00,0,Monday
VEH50,28.61647550390723,77.20825554084234,20.406143923504793,2024-01-01 00:01:00,0,Monday
VEH43,28.613634861245508,77.20960230209941,42.316210562426434,2024-01-01 00:03:00,0,Monday
VEH26,28.61197639035219,77.21201547342334,29.826441151473784,2024-01-01 00:43:00,0,Monday
VEH85,28.602213219623806,77.22042822814515,33.75966516343387,2024-01-01 00:41:00,0,Monday
VEH66,28.62181031947043,77.19990612545206,37.013971554680495,2024-01-01 00:43:00,0,Monday
VEH54,28.599881489372077,77.21486857093801,40.952278129049894,2024-01-01 00:50:00,0,Monday
VEH89,28.603994636748695,77.20333702270398,30.498256825438204,2024-01-01 00:44:00,0,Monday
VEH11,28.60886524345884,77.19349336568933,30.342814874030136,2024-01-01 00:37:00,0,Monday
VEH60,28.60327696286274,77.21373592430635,25.402878828830985,2024-01-01 00:26:00,0,Monday
VEH86,28.629399344050178,77.20116746707664,28.38969241897162,2024-01-01 00:03:00,0,Monday
VEH47,28.622035172173696,77.19669135683566,31.137299673020646,2024-01-01 00:33:00,0,Monday
